Country Name	China	
Country Code	CHN	
Indicator Name	Adjusted net national income per capita (current US$)	
Indicator Code	NY.ADJ.NNTY.PC.CD	
1960		
1961		
1962		
1963		
1964		
1965		
1966		
1967		
1968		
1969		
1970	103.517594080519	
1971	108.595240784444	4.91%
1972	120.181432200735	10.67%
1973	142.980248089439	18.97%
1974	141.611595490643	-0.96%
1975	154.736767441987	9.27%
1976	140.971435018293	-8.90%
1977	157.612180761139	11.80%
1978	132.403926100621	-15.99%
1979	147.883653851115	11.69%
1980	151.339893093907	2.34%
1981	153.74012083893	1.59%
1982	162.398500936914	5.63%
1983	186.356040691482	14.75%
1984	210.932413859619	13.19%
1985	250.894352260618	18.95%
1986	245.59660289279	-2.11%
1987	217.612899952492	-11.39%
1988	247.99615115783	13.96%
1989	269.074330666428	8.50%
1990	271.409505939561	0.87%
1991	289.716540085855	6.75%
1992	321.553344721323	10.99%
1993	328.230542072571	2.08%
1994	411.298543842059	25.31%
1995	520.477567840114	26.54%
1996	604.164100036959	16.08%
1997	666.30083531492	10.28%
1998	696.171699807156	4.48%
1999	732.956291633905	5.28%
2000	800.700117610255	9.24%
2001	877.461964854346	9.59%
2002	970.009372071228	10.55%
2003	1086.61906240298	12.02%
2004	1249.92766622302	15.03%
2005	1435.12410640322	14.82%
2006	1713.16989824717	19.37%
2007	2181.52570216673	27.34%
2008	2718.44367023867	24.61%
2009	3058.75636614936	12.52%
2010	3511.23752994868	14.79%
2011	4162.71695532087	18.55%
2012	4799.91729373278	15.31%
2013	5273.46615416214	9.87%
2014	5800.15453471929	9.99%
2015	6039.7431623498	4.13%
2016	6145.74251147508	1.76%
2017	6714.58192327113	9.26%
2018	7378.31132909407	9.88%
2019	7551.08347037283	2.34%
2020	7540.2168521012	-0.14%
2021		
